mid,Model type,Publication,Population,Drug,Disease,PMID,Training data Reference,Training data,Program/code
M949,pop-PK,"Gibson EG, Campagne O, Selvo NS, Gajjar A, Stewart CF. Population pharmacokinetic analysis of crizotinib in children with progressive/recurrent high-grade and diffuse intrinsic pontine gliomas. Cancer Chemother Pharmacol. 2021 Dec;88(6):1009-1020. doi: 10.1007/s00280-021-04357-4. Epub 2021 Sep 29. PMID: 34586478; PMCID: PMC8561710.",Pediatric Patients,crizotinib,High-grade gliomas,34586478,"Methods
Study design and treatment
The patients included in this study were treated on a dose-escalation phase I clinical trial (SJHG12; NCT01644773), conducted at St. Jude Children’s Research Hospital [10]. The trial was approved by the St. Jude Children’s Research Hospital Institutional Review Board and informed written consent was obtained from the legal guardians.",https://clinicaltrials.gov/study/NCT01644773,NA
M950,pop-PK,"Oosterholt SP, Della Pasqua O. Extrapolation and dosing recommendations for raxibacumab in children from birth to age <18 years. Br J Clin Pharmacol. 2021 Dec;87(12):4709-4717. doi: 10.1111/bcp.14893. Epub 2021 Jul 13. PMID: 33974281.",Pediatric Patients,raxibacumab,inhalational anthrax,33974281,"METHODS
A previously developed population pharmacokinetic model in adult healthy subjects was used as the basis for the extrapolation of the disposition properties of raxibacumab in the paediatric population [16]
[16]:METHODS
Analysis population: The data used for this analysis were obtained from 3 clinical trials and include 2229 blood samples from 322 subjects (Supplementary Materials Table S1), who were randomized to receive a 40 mg/kg IV dose of raxibacumab over a period of 2.25 hours. Most subjects received a single nominal dose of 40 mg/kg raxibacumab, but 43 subjects were administered two 40 mg/kg raxibacumab doses given either 14 days apart (Study HGS1021 C1063) or at least 4 months apart (Study HGS1021-C1069).",measured,NA
M951,pop-PK,"Downes KJ, Zane NR, Zuppa AF. Effect of Cystatin C on Vancomycin Clearance Estimation in Critically Ill Children Using a Population Pharmacokinetic Modeling Approach. Ther Drug Monit. 2020 Dec;42(6):848-855. doi: 10.1097/FTD.0000000000000796. PMID: 32947559; PMCID: PMC7669697.",Pediatric Patients,Vancomycin,gram-positive bacterial infections,32947559,"Materials and Methods
STUDY POPULATION
This was a prospective, observational PK study conducted in the Pediatric Intensive Care Unit at the Children’s Hospital of Philadelphia (CHOP) from December 2015 to November 2017. Patients aged 2–18 years receiving intravenous (IV) vancomycin for any indication were eligible for inclusion.",measured,NA
M952,pop-PK,"Jullien V, Raïs A, Urien S, Dimet J, Delaugerre C, Bouillon-Pichault M, Rey E, Pons G, Blanche S, Tréluyer JM. Age-related differences in the pharmacokinetics of stavudine in 272 children from birth to 16 years: a population analysis. Br J Clin Pharmacol. 2007 Jul;64(1):105-9. doi: 10.1111/j.1365-2125.2007.02854.x. Epub 2007 Feb 26. PMID: 17324223; PMCID: PMC2000613.",Pediatric Patients,stavudine,HIV,17324223,NA,measured,NA
M953,pop-PK,"Baheti G, King JR, Acosta EP, Fletcher CV. Age-related differences in plasma and intracellular tenofovir concentrations in HIV-1-infected children, adolescents and adults. AIDS. 2013 Jan 14;27(2):221-5. doi: 10.1097/QAD.0b013e32835a9a2d. PMID: 23032419; PMCID: PMC3586236.",adult and pediatric patients,tenofovir,HIV,23032419,"Methods
Study design, subjects, and bioanalytical methods
P1058 determined the steady-state pharmacokinetics of TFV and TFV-DP when TDF was given in combination with nucleoside (NRTI) or non-nucleoside reverse transcriptase inhibitors (NNRTI) with or without protease inhibitors (PIs) to 47 children and adolescents [2]. These data were pooled with those from two other studies in adolescents and adults. The first study, conducted by the Adolescent Trials Network (ATN) for HIV/AIDS Interventions (Protocol ATN056) characterized TFV and ritonavir-boosted atazanavir pharmacokinetics [3]. The second was a single-center two-group study (known as 1427) of TFV pharmacokinetics and renal clearance in persons taking lopinavir/ritonavir versus those not receiving a PI [4].","https://journals.asm.org/doi/full/10.1128/aac.01334-10
https://journals.asm.org/doi/full/10.1128/aac.00761-07
https://ascpt.onlinelibrary.wiley.com/doi/full/10.1038/sj.clpt.6100269?casa_token=tbcOkAZtwOEAAAAA%3AL38Hzeitr7qp9cgSyuzwxZsdV-aGME5qzZusiP_FF_rad46SRB4rnjZac2D3r_H6Il_L3RLmZd_687gr",NA
M954,pop-PK,"Hill CR, Cole M, Errington J, Malik G, Boddy AV, Veal GJ. Characterisation of the clinical pharmacokinetics of actinomycin D and the influence of ABCB1 pharmacogenetic variation on actinomycin D disposition in children with cancer. Clin Pharmacokinet. 2014 Aug;53(8):741-51. doi: 10.1007/s40262-014-0153-2. PMID: 24968986; PMCID: PMC4111883.",adult and pediatric patients, actinomycin D,cancer,24968986,"Patients and Methods
Study Population and Treatment
Study protocols were approved by the UK Trent Multicentre Research Ethics Committee and written informed consent was obtained from all patients or parents as appropriate. Eligible patients were under 21 years of age and were receiving Act D as part of standard chemotherapy for a range of tumour types. The studies were registered through the appropriate clinical trials registries (PK 2003 08-REC: 03/04/074, CTA: 23198/0001/001; PK 2006 07-REC 05/MRE04/62, CTA: 2005-002996-34, ClinicalTrials.gov identifier: NCT00900354) before opening to patient recruitment. Baseline toxicity data prior to Act D treatment, including baseline haemoglobin (Hb), white blood cell (WBC) and platelet counts, were obtained from patients’ notes and details of concomitant medications prior to and/or in combination with Act D were recorded.",https://clinicaltrials.gov/study/NCT00900354,NA
M955,pop-PK,"Cies JJ, Moore WS, Parker J, Stevens R, Al-Qaqaa Y, Enache A, Chopra A. Pharmacokinetics of cefazolin delivery via the cardiopulmonary bypass circuit priming solution in infants and children. J Antimicrob Chemother. 2019 May 1;74(5):1342-1347. doi: 10.1093/jac/dky574. PMID: 30689931.",Pediatric Patients,cefazolin,bacterial infections during Cardiopulmonary bypass surgery,30689931,"Patients and methods
Patient population and study design
This was a prospective, open-label pharmacokinetic study conducted at St Christopher’s Hospital for Children and New York University (NYU) Langone Medical Center from 1 January 2015 to 31 December 2016.",measured,NA
M956,pop-PK,"Lobo ED, Quinlan T, Prakash A. Pharmacokinetics of orally administered duloxetine in children and adolescents with major depressive disorder. Clin Pharmacokinet. 2014 Aug;53(8):731-40. doi: 10.1007/s40262-014-0149-y. PMID: 24989060.",Pediatric Patients,duloxetine,major depressive disorder,24989060,"2 Methods
2.1 Study Design and Patient Population
The population pharmacokinetic analysis was conducted on the pharmacokinetic and demographic data available from the following three clinical trial: F1J-MC-HMFN (HMFN; clinical trial identifier: NCT00529789), F1J-MC-HMCK (HMCK; clinical trial identifier: NCT00849901), and F1J-MC-HMCL (HMCL; clinical trial identifier: NCT00849693).","https://clinicaltrials.gov/study/NCT00529789
https://clinicaltrials.gov/study/NCT00849901
https://clinicaltrials.gov/study/NCT00849693",NA
M957,pop-PK,"Garcia-Prats AJ, Schaaf HS, Draper HR, Garcia-Cremades M, Winckler J, Wiesner L, Hesseling AC, Savic RM. Pharmacokinetics, optimal dosing, and safety of linezolid in children with multidrug-resistant tuberculosis: Combined data from two prospective observational studies. PLoS Med. 2019 Apr 30;16(4):e1002789. doi: 10.1371/journal.pmed.1002789. PMID: 31039153; PMCID: PMC6490911.",Pediatric Patients,linezolid,tuberculosis,31039153,"Methods
Study design, setting, and population
The data described here are combined from 2 prospective observational pharmacokinetic studies in Cape Town, South Africa, which used standard clinical study measures, identical drug formulations, and standard sample collection and laboratory methods.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6490911/bin/pmed.1002789.s009.csv
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6490911/bin/pmed.1002789.s010.xlsx",NA
M958,pop-PK,"Yamada T, Emoto C, Fukuda T, Motomura Y, Inoue H, Ohga S, Ieiri I. Optimal Teicoplanin Dosing Regimen in Neonates and Children Developed by Leveraging Real-World Clinical Information. Ther Drug Monit. 2022 Jun 1;44(3):404-413. doi: 10.1097/FTD.0000000000000930. PMID: 34629445.",Pediatric Patients,Teicoplanin,gram-positive bacterial infections,34629445,"METHODS
Patients and Study DesignPediatric patients aged 0–16 years who were treatedwith   teicoplanin   and   whose   serum   teicoplaninconcentration(s)  were  available  from  April  2013  toDecember 2015 at Kyushu University Hospital were screenedfor this study.",measured,NA
M959,pop-PK,"Rower JE, Stockmann C, Linakis MW, Kumar SS, Liu X, Korgenski EK, Sherwin CMT, Molina KM. Predicting tacrolimus concentrations in children receiving a heart transplant using a population pharmacokinetic model. BMJ Paediatr Open. 2017;1(1):e000147. doi: 10.1136/bmjpo-2017-000147. Epub 2017 Nov 22. PMID: 29177199; PMCID: PMC5699789.",Pediatric Patients,tacrolimus,graft rejection after heart transplantation,29177199,"Methods
Data collection
Study approval was granted by the University of Utah, Intermountain Healthcare and Primary Children’s Hospital Institutional Review Board. Data for this study, including event times, dose amount, tacrolimus concentrations and demographics, were collected retrospectively from the Intermountain Healthcare Enterprise Data Warehouse.",measured,NA
M960,pop-PK,"De Cock PA, Mulla H, Desmet S, De Somer F, McWhinney BC, Ungerer JP, Moerman A, Commeyne S, Vande Walle J, Francois K, Van Hasselt JG, De Paepe P. Population pharmacokinetics of cefazolin before, during and after cardiopulmonary bypass to optimize dosing regimens for children undergoing cardiac surgery. J Antimicrob Chemother. 2017 Mar 1;72(3):791-800. doi: 10.1093/jac/dkw496. PMID: 27999040.",Pediatric Patients,cefazolin,bacterial infections during Cardiopulmonary bypass surgery,27999040,"Patients and methods
Study design and ethics
A prospective pharmacokinetic study was conducted at Ghent University Hospital, Ghent, Belgium between November 2012 and May 2014. Patients between 1 day and 15 years of age undergoing cardiac surgery with CPB and receiving cefazolin as standard-care surgical antibiotic prophylaxis were eligible. The research was conducted in accordance with the guidelines of the Declaration of Helsinki, approved by the institutional Ethics Committee and registered at Clinicaltrials.gov (NCT02749981).",https://clinicaltrials.gov/study/NCT02749981,NA
M961,pop-PK,"Uijtendaal EV, Rademaker CM, Schobben AF, Fleer A, Kramer WL, van Vught AJ, Kimpen JL, van Dijk A. Once-daily versus multiple-daily gentamicin in infants and children. Ther Drug Monit. 2001 Oct;23(5):506-13. doi: 10.1097/00007691-200110000-00002. PMID: 11591895.",infants and children,gentamicin,gram-positive and gram-negative bacterial infections,11591895,"MATERIALS AND METHODS
Patients
Patients eligible for the study were between the ages of 1 month (postterm age) and 16 years and had a suspected or confirmed bacterial infection, based on clinical and laboratory parameters, for which a gentamicincontaining regimen was indicated according to the treatment protocol of the Wilhelmina Children’s Hospital",measured,NA
M962,pop-PK,"Bolme P, Edlund PO, Eriksson M, Paalzow L, Winbladh B. Pharmacokinetics of theophylline in young children with asthma: comparison of rectal enema and suppositories. Eur J Clin Pharmacol. 1979 Sep;16(2):133-9. doi: 10.1007/BF00563120. PMID: 499310.",Pediatric Patients,theophylline,asthma,499310,NA,measured,NA
M963,pop-PK,"Hamberg AK, Wadelius M, Friberg LE, Biss TT, Kamali F, Jonsson EN. Characterizing variability in warfarin dose requirements in children using modelling and simulation. Br J Clin Pharmacol. 2014 Jul;78(1):158-69. doi: 10.1111/bcp.12308. PMID: 24330000; PMCID: PMC4168390.",Pediatric Patients,warfarin,thrombosis,24330000,"Methods
Patients and treatment data
Data from two observational warfarin studies in children with underlying heart disease [7,21] were used in the current analysis.","https://ashpublications.org/blood/article/119/3/868/135107/VKORC1-and-CYP2C9-genotype-and-patient
https://link.springer.com/article/10.1007/s00228-012-1466-4",NA
M964,pop-PK,"Ririe DG, James RL, O'Brien JJ, Lin YA, Bennett J, Barclay D, Hines MH, Butterworth JF. The pharmacokinetics of epsilon-aminocaproic acid in children undergoing surgical repair of congenital heart defects. Anesth Analg. 2002 Jan;94(1):44-9, table of contents. doi: 10.1097/00000539-200201000-00008. PMID: 11772798.",Pediatric Patients,epsilon-Aminocaproic acid,blood loss during cardiac surgery,11772798,NA,measured,NA
M965,pop-PK,"Radtke KK, Hesseling AC, Winckler JL, Draper HR, Solans BP, Thee S, Wiesner L, van der Laan LE, Fourie B, Nielsen J, Schaaf HS, Savic RM, Garcia-Prats AJ. Moxifloxacin Pharmacokinetics, Cardiac Safety, and Dosing for the Treatment of Rifampicin-Resistant Tuberculosis in Children. Clin Infect Dis. 2022 Apr 28;74(8):1372-1381. doi: 10.1093/cid/ciab641. PMID: 34286843; PMCID: PMC9049278.",Pediatric Patients,Moxifloxacin,Tuberculosis,34286843,"METHODS
Study Design, Patients, and Treatment
Data were collected from 2 prospective observational pharmacokinetic studies (MDR-PK1, MDR-PK2) in Cape Town, South Africa, that have been previously described in detail [17, 18]. MDR-PK1 enrolled children aged 0 to <15 years living with and without human immunodeficiency virus (HIV) routinely treated for probable or confirmed RR-TB from 2011 through 2015. MDR-PK2 enrolled children aged 0 to <18 years living with and without HIV routinely treated for RR-TB from 2016 through 2020, during which treatment guidelines recommended treatment with moxifloxacin (aged ≥8 years) or levofloxacin (aged <8 years) and at least 3 additional drugs for 9–18 months [19, 20].","https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002789
https://journals.asm.org/doi/full/10.1128/aac.01521-17",NA
M966,pop-PK,"Seaton C, Ignas J, Muchohi S, Kokwaro G, Maitland K, Thomson AH. Population pharmacokinetics of a single daily intramuscular dose of gentamicin in children with severe malnutrition. J Antimicrob Chemother. 2007 Apr;59(4):681-9. doi: 10.1093/jac/dkl561. Epub 2007 Mar 8. PMID: 17347177.",Pediatric Patients,gentamicin,gram-positive and gram-negative bacterial infections,17347177,"Materials and methods
Patients and protocol
The study was undertaken at the KEMRI Centre for Geographic
Medicine Research (Coast) at Kilifi District Hospital, Kenya.",measured,NA
M967,pop-PK,"Jullien V, Urien S, Chappuy H, Dimet J, Rey E, Pons G, Blanche S, Tréluyer JM. Abacavir pharmacokinetics in human immunodeficiency virus-infected children ranging in age from 1 month to 16 years: a population analysis. J Clin Pharmacol. 2005 Mar;45(3):257-64. doi: 10.1177/0091270004272215. PMID: 15703361.",Pediatric Patients,Abacavir,HIV,15703361,NA,measured,NA
M968,pop-PK,"Meesters K, Michelet R, Mauel R, Raes A, Van Bocxlaer J, Vande Walle J, Vermeulen A. Results of a Multicenter Population Pharmacokinetic Study of Ciprofloxacin in Children with Complicated Urinary Tract Infection. Antimicrob Agents Chemother. 2018 Aug 27;62(9):e00517-18. doi: 10.1128/AAC.00517-18. PMID: 29987142; PMCID: PMC6125553.",Pediatric Patients,Ciprofloxacin,Complicated Urinary Tract Infection,29987142,"MATERIALS AND METHODS
Study design. A prospective, open-label, pharmacokinetic study was conducted at the departments of pediatrics at Ghent University Hospital and Universitair Ziekenhuis Brussel, the hospital of the Dutch-speaking university of Brussels (Vrije Universiteit Brussel), between May 2015 and May 2017. Patients between 3 months and 17 years of age who were treated with ciprofloxacin for UTI, either p.o. or i.v., were considered for inclusion. Patients were excluded either if they had a contraindication for ciprofloxacin, such as epilepsy, pregnancy, long QT syndrome, glucose-6-phosphatase deficiency (G6PD), or if they were allergic to any of the product substances. Furthermore, patients were excluded if no informed consent could be obtained from both parents and/or legal representatives. This study was conducted in accordance with the guidelines of the Declaration of Helsinki and was approved by institutional review boards at both study sites (Brussels, EC/2015/033; Ghent, EC/2014/1207). Written informed consent was obtained from both the parents or legal representatives, and informed assent was obtained from the patients if they were older than 12 years. The study was registered at clinicaltrials.gov (NCT02598362).",https://clinicaltrials.gov/study/NCT02598362,NA
M969,pop-PK,"Zeng L, Nath CE, Blair EY, Shaw PJ, Stephen K, Earl JW, Coakley JC, McLachlan AJ. Population pharmacokinetics of acyclovir in children and young people with malignancy after administration of intravenous acyclovir or oral valacyclovir. Antimicrob Agents Chemother. 2009 Jul;53(7):2918-27. doi: 10.1128/AAC.01138-08. Epub 2009 May 4. PMID: 19414579; PMCID: PMC2704705.",Pediatric Patients,acyclovir,herpes simplex virus (HSV) and varicella-zoster virus (VZV) infections,19414579,"MATERIALS AND METHODS
Patients. A total of 43 children and young people with malignancy, aged between 9.2 months and 19.9 years, were recruited into this prospective, single-center observational investigation of pharmacokinetics of acyclovir and valacyclovir.",measured,NA
M970,pop-PK,"Hietala SF, Mårtensson A, Ngasala B, Dahlström S, Lindegårdh N, Annerberg A, Premji Z, Färnert A, Gil P, Björkman A, Ashton M. Population pharmacokinetics and pharmacodynamics of artemether and lumefantrine during combination treatment in children with uncomplicated falciparum malaria in Tanzania. Antimicrob Agents Chemother. 2010 Nov;54(11):4780-8. doi: 10.1128/AAC.00252-10. Epub 2010 Aug 16. PMID: 20713675; PMCID: PMC2976134.",Pediatric Patients,artemether/lumefantrine,uncomplicated falciparum malaria,20713675,The patient study (no. NCT00336375) is registered at www.Clinical.Trials.gov.,https://clinicaltrials.gov/study/NCT00336375,NA
M971,pop-PK,"Mithwani S, Aarons L, Kokwaro GO, Majid O, Muchohi S, Edwards G, Mohamed S, Marsh K, Watkins W. Population pharmacokinetics of artemether and dihydroartemisinin following single intramuscular dosing of artemether in African children with severe falciparum malaria. Br J Clin Pharmacol. 2004 Feb;57(2):146-52. doi: 10.1046/j.1365-2125.2003.01986.x. PMID: 14748813; PMCID: PMC1884434.",Pediatric Patients,artemether,falciparum malaria,14748813,"Methods
Protocol and patients
The study was conducted in the paediatric ward of Kilifi District Hospital in Kenya.",measured,NA
M972,pop-PK,"Toublanc N, Sargentini-Maier ML, Lacroix B, Jacqmin P, Stockis A. Retrospective population pharmacokinetic analysis of levetiracetam in children and adolescents with epilepsy: dosing recommendations. Clin Pharmacokinet. 2008;47(5):333-41. doi: 10.2165/00003088-200847050-00004. PMID: 18399714.",Pediatric Patients,levetiracetam,epilepsy,18399714,"Methods
Database
Data were supplied from patients receiving adjunctive leve.tiracetam therapy in five trials N151[14,18] NO1052[16] N01010[15],N159[4] and N157[19] presented in table l.",https://link.springer.com/article/10.2165/00003088-200847050-00004/figures/Tab1,NA
M973,pop-PK,"Brown RD, Kearns GL, Wilson JT. Integrated pharmacokinetic-pharmacodynamic model for Paracetamol, ibuprofen, and placebo antipyresis in children. J Pharmacokinet Biopharm. 1998 Oct;26(5):559-79. doi: 10.1023/a:1023225217108. PMID: 10205771.",Pediatric Patients,Paracetamol/ibuprofen,fever,10205771,"METHODS
Details of the study design, procedures, and resultant demographic characteristics of the population have been described previously (1). Briefly, 178 children ages 3 months to 12 years children were admitted to the study.",https://www.jpeds.com/article/S0022-3476(05)80307-5/abstract,NA
M974,pop-PK,"Chen X, Wang DD, Xu H, Li ZP. Population pharmacokinetics and pharmacogenomics of tacrolimus in Chinese children receiving a liver transplant: initial dose recommendation. Transl Pediatr. 2020 Oct;9(5):576-586. doi: 10.21037/tp-20-84. PMID: 33209719; PMCID: PMC7658763.",Pediatric Patients,tacrolimus,graft rejection after liver  transplantation,33209719,"Methods
Patients
Data on Chinese children who underwent a liver transplant and were treated with tacrolimus between September 2014 and October 2019 at the Children’s Hospital of Fudan University were collected retrospectively. Partial basic clinical data of children were gathered from previous studies (23,24).","https://www.tandfonline.com/doi/10.1080/00498254.2019.1631505
https://www.tandfonline.com/doi/abs/10.1080/00498254.2019.1652782",NA
M975,pop-PK,"Marsit H, Philippe M, Neely M, Rushing T, Bertrand Y, Ducher M, Leclerc V, Guitton J, Bleyzac N, Goutelle S. Intra-individual Pharmacokinetic Variability of Intravenous Busulfan in Hematopoietic Stem Cell-Transplanted Children. Clin Pharmacokinet. 2020 Aug;59(8):1049-1061. doi: 10.1007/s40262-020-00877-z. PMID: 32157629.",Pediatric Patients,Busulfan,graft rejection after hematopoietic stem cell transplantation (HSCT),32157629,"2 Patients and Methods
2.1 Study Population and Data Collection
This was a retrospective analysis of data retrieved from medical records of patients who received intravenous busulfan as a part of a preconditioning regimen before HSCT in two centers: the Institute of Pediatric Hematology and Oncology (IHOP) in Lyon, France and the other at the Children’s Hospital of Los Angeles (CHLA), California, USA. The period of data collection was June 2006–June 2015. This dataset and the patient population have been described in detail in previous publications from our groups [9, 10].","https://journals.lww.com/drug-monitoring/abstract/2016/06000/accurately_achieving_target_busulfan_exposure_in.9.aspx
https://www.nature.com/articles/s41409-018-0281-7",NA
M976,pop-PK,"van der Laan LE, Garcia-Prats AJ, Schaaf HS, Chirehwa M, Winckler JL, Mao J, Draper HR, Wiesner L, Norman J, McIlleron H, Donald PR, Hesseling AC, Denti P. Pharmacokinetics and Dose Optimization Strategies of Para-Aminosalicylic Acid in Children with Rifampicin-Resistant Tuberculosis. Antimicrob Agents Chemother. 2022 Jun 21;66(6):e0226421. doi: 10.1128/aac.02264-21. Epub 2022 May 4. PMID: 35506699; PMCID: PMC9211416.",Pediatric Patients,Para-Aminosalicylic Acid,Tuberculosis,35506699,"MATERIALS AND METHODS
Study design. This was a prospective observational pharmacokinetic study.
Setting and population. The study was conducted in Cape Town, South Africa, nested in a larger study (MDR PK1, 1 R01 HD069169-01).",measured,NA
M977,pop-PK,"Kakuda TN, Brochot A, Green B, Nijs S, Vis P, Opsomer M, Tomaka FL, Hoetelmans RM. Pharmacokinetics and Pharmacokinetic/Pharmacodynamic Relationships of Etravirine in HIV-1-Infected, Treatment-Experienced Children and Adolescents in PIANO. J Clin Pharmacol. 2016 Nov;56(11):1395-1405. doi: 10.1002/jcph.746. PMID: 27060341.",Children and Adolescents,Etravirine,HIV,27060341,"Methods 
Study Design, Participants, and Treatment 
PIANO (TMC125-TiDP35-C213; Clinical Trials.gov: NCT00665847) was a phase 2 open-label, multicenter study. Full details of the study design and clinical outcomes are reported elsewhere.15",https://clinicaltrials.gov/study/NCT00665847,NA
M978,pop-PK,"Khalil F, Choi SL, Watson E, Tzschentke TM, Lefeber C, Eerdekens M, Freijer J. Population Pharmacokinetics of Tapentadol in Children from Birth to <18 Years Old. J Pain Res. 2020 Nov 24;13:3107-3123. doi: 10.2147/JPR.S269549. PMID: 33262645; PMCID: PMC7700087.",Pediatric Patients,Tapentadol,pain,33262645,"Patients and Methods
Clinical Trial Design and Patient Population
Data derived from a total of four single-dose, open-label, Phase II PK trials administering tapentadol OS or IV were used in this popPK analysis (Table 1).",measured,NA
M979,pop-PK,"Santamaría E, Estévez JA, Riba J, Izquierdo I, Valle M. Population pharmacokinetic modelling of rupatadine solution in 6-11 year olds and optimisation of the experimental design in younger children. PLoS One. 2017 Apr 18;12(4):e0176091. doi: 10.1371/journal.pone.0176091. PMID: 28419164; PMCID: PMC5395227.",Children,rupatadine,allergic rhinitis,28419164,"Material and methods
Population
PK data from an open label, single dose study in eleven children with allergic rhinitis aged 6–11 years old were used to build the model. The study was approved by the Clinical Research Ethics Committee of the Royal Children’s Hospital and Murdoch Children’s Research Institute, Melbourne, Australia, and by the Ethics Committee of the Peninsula Private Hospital and Peninsula Clinical Research Centre, Rivercity, Australia.",measured,NA
M980,pop-PK,"Dudkowski C, Tsai M, Liu J, Zhao Z, Schmidt E, Xie J. The pharmacokinetics and pharmacodynamics of alogliptin in children, adolescents, and adults with type 2 diabetes mellitus. Eur J Clin Pharmacol. 2017 Mar;73(3):279-288. doi: 10.1007/s00228-016-2175-1. Epub 2016 Dec 20. PMID: 27999883; PMCID: PMC5306220.","children, adolescents, and adults",alogliptin,type 2 diabetes mellitus,27999883,"Methods
Study design
This phase 1, randomized, open-label, single-dose, multicenter study (NCT00957268) was conducted in compliance with the institutional review board regulations stated in the US Code of Federal Regulations, Good Clinical Practice (GCP) regulations and guidelines",https://clinicaltrials.gov/study/NCT00957268,NA
M981,pop-PK,"Oualha M, Urien S, Spreux-Varoquaux O, Bordessoule A, D'Agostino I, Pouard P, Tréluyer JM. Pharmacokinetics, hemodynamic and metabolic effects of epinephrine to prevent post-operative low cardiac output syndrome in children. Crit Care. 2014 Jan 24;18(1):R23. doi: 10.1186/cc13707. PMID: 24456639; PMCID: PMC4056810.",Pediatric Patients,epinephrine,low cardiac output syndrome (LCOS),24456639,"Materials and methods
Setting
This prospective study was conducted in a 14-bed surgical pediatric cardiovascular intensive care unit (pCVICU) of a tertiary teaching hospital Necker Enfants Malades, Paris in France from July 2011 to December 2011.",measured,NA
M982,pop-PK,"Zhang H, Wang Y, Gao P, Hu J, Chen Y, Zhang L, Shen X, Xu H, Xu Q. Pharmacokinetic Characteristics and Clinical Outcomes of Vancomycin in Young Children With Various Degrees of Renal Function. J Clin Pharmacol. 2016 Jun;56(6):740-8. doi: 10.1002/jcph.653. Epub 2015 Dec 21. PMID: 26440302.",Pediatric Patients,Vancomycin,gram-positive bacterial infections,26440302,"Children and Treatment Protocol
All children admitted from July 2012 to January 2014 to Wuhan Children’s Hospital, Wuhan, China, were eligible for our study if they were diagnosed with severe pneumonia, septic arthritis, or bacterial meningitis with MRSA, methicillin-resistant Staphylococcus epidermidis (MRSE), or other gram-positive bacteria, or were presumed by their attending physicians to have gram-positive bacterial infections; received the samedose of vancomycin for at least 4 doses; and were aged 1 month to 2 years.",measured,NA
M983,pop-PK,"Weiner M, Savic RM, Kenzie WR, Wing D, Peloquin CA, Engle M, Bliven E, Prihoda TJ, Gelfond JA, Scott NA, Abdel-Rahman SM, Kearns GL, Burman WJ, Sterling TR, Villarino ME; Tuberculosis Trials Consortium PREVENT TB Pharmacokinetic Group. Rifapentine Pharmacokinetics and Tolerability in Children and Adults Treated Once Weekly With Rifapentine and Isoniazid for Latent Tuberculosis Infection. J Pediatric Infect Dis Soc. 2014 Jun;3(2):132-45. doi: 10.1093/jpids/pit077. Epub 2014 Jan 16. PMID: 26625366.",adult and pediatric patients,Rifapentine,Latent Tuberculosis Infection,26625366,"The model was
developed with historical pharmacokinetic data from 35 pediatric subjects without TB who had intensive sampling after a single dose of rifapentine [7, 9]; 35 adult patients with TB in continuation phase therapy who received once-weekly rifapentine and isoniazid and who underwent intensive sampling [8]; and 157 patients with a single C24 sample in the PREVENT TB study who received 3 once-weekly doses of rifapentine and isoniazid [10].","https://www.atsjournals.org/doi/10.1164/rccm.200208-951OC?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed
https://journals.lww.com/pidj/abstract/1999/10000/rifapentine_pharmacokinetics_in_adolescents.9.aspx
https://www.atsjournals.org/doi/10.1164/rccm.200311-1612OC?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed
https://journals.lww.com/pidj/abstract/2006/05000/pharmacokinetics_of_rifapentine_in_children.6.aspx",NA
M984,pop-PK,"de Kock M, Tarning J, Workman L, Allen EN, Tekete MM, Djimde AA, Bell DJ, Ward SA, Barnes KI, Denti P. Population Pharmacokinetic Properties of Sulfadoxine and Pyrimethamine: a Pooled Analysis To Inform Optimal Dosing in African Children with Uncomplicated Malaria. Antimicrob Agents Chemother. 2018 Apr 26;62(5):e01370-17. doi: 10.1128/AAC.01370-17. PMID: 29463542; PMCID: PMC5923181.",adult and pediatric patients,Sulfadoxine-Pyrimethamine,Uncomplicated Malaria,29463542,"The pharmacokinetic data used for modeling were pooled from 4 different previously published clinical studies (3, 5, 8, 9) from the African countries of Mozambique, South Africa, Mali, and Malawi and were collected at eight different study sites. The data from the studies in Mali and Malawi were only for children, while the data from the studies in Mozambique and South Africa included both children and adults.","https://ascpt.onlinelibrary.wiley.com/doi/full/10.1016/j.clpt.2006.08.016?casa_token=bBC2j9CxAwkAAAAA%3A4rR6Gm_Xmjm-3QSjzuRV86g0Jm94LQDFLrSSBq0GYTA4bZgdXZkOpuEdYiMZZru2Fmlpjq4S7V-rduL2
https://ascpt.onlinelibrary.wiley.com/doi/full/10.1038/clpt.2010.297?casa_token=51qhRy52KBIAAAAA%3AIFROFqL4_t6FDPzWpeVRSEIAnZjmQDETe6yQRt85_9acbYyK7il65DPVSktWQbceoWARj2D1gog2atlt
https://link.springer.com/article/10.1186/1475-2875-10-275
https://link.springer.com/article/10.1186/1475-2875-8-141",NA
